"Difficulty","Word","Meaning"
"easy","quiet","1.making little or no noise.<br> 2. carried out discreetly, secretly, or with moderation. <br> 3. absence of noise or bustle; silence; calm."
"easy","erase","1. rub out or remove (writing or marks). <br> 2. remove all traces of; destroy or obliterate. <br> 3. remove recorded material from (a magnetic tape or medium); delete (data) from a computer's memory."
"easy","cheat","1. act dishonestly or unfairly in order to gain an advantage. <br> 2. avoid (something undesirable) by luck or skill. <br> 3. a fraud or deception"
"easy","stare","1. look fixedly or vacantly at someone or something with one's eyes wide open. <br> 2. a long fixed or vacant look. <br> 3. (of a person's eyes) be wide open, with a fixed or vacant expression."
"easy","melt","1. make or become liquefied by heat. <br> 2. dissolve in liquid. <br> 3. make or become more tender or loving. <br> 4. leave or disappear unobtrusively."
"easy","search","try to find something by looking or otherwise seeking carefully and thoroughly."
"easy","special","1.better, greater, or otherwise different from what is usual. <br> 2. exceptionally good or pleasant. <br> 3. belonging specifically to a particular person or place. <br> 4. designed or organized for a particular person, purpose, or occasion. <br> 5. used to denote education for children with particular needs, especially those with learning difficulties."
"easy","curse","1. a solemn utterance intended to invoke a supernatural power to inflict harm or punishment on someone or something. <br> 2. a cause of harm or misery. <br> 3. an offensive word or phrase used to express anger or annoyance."
"easy","peace","1. freedom from disturbance; tranquillity. <br> 2. mental or emotional calm. <br> 3. a state or period in which there is no war or a war has ended. "
"easy","blanket","1. a large piece of woollen or similar material used as a covering on a bed or elsewhere for warmth. <br> 2. a thick covering mass or layer. <br> 3. covering all cases or instances; total and inclusive."
"easy","island","a piece of land surrounded by water."
"easy","earthquake","1. a sudden violent shaking of the ground, typically causing great destruction, as a result of movements within the earth's crust or volcanic action. <br> 2. a great upheaval."
"easy","film","1. a thin flexible strip of plastic or other material coated with light-sensitive emulsion for exposure in a camera, used to produce photographs or motion pictures. <br> 2. a story or event recorded by a camera as a set of moving images and shown in a cinema or on television. <br> 3. a thin layer covering a surface."
"easy","hyphen","symbol ""-"", typically used to join two or more words to form a compound term, or to indicate that a word has been split at the end of a line."
"easy","garbage","1. rubbish or waste, especially domestic refuse. <br> 2. worthless or meaningless material or ideas; rubbish. <br> 3. unwanted data in a computer's memory."
"easy","dictionary","a reference book containing an alphabetical list of words with information about them"
"easy","trip","1. a journey or excursion, especially for pleasure. <br> 2. a stumble or fall due to catching one's foot on something."
"easy","villian","1. a wicked or evil person; someone who does evil deliberately <br> 2. the principal bad character in a film or work of fiction"
"easy","vacation","leisure time away from work devoted to rest or pleasure"
"easy","travel","1. go from one place to another, typically over a distance of some length. <br> 2. undertake a journey or trip"
"easy","moral","1. standards of behaviour; principles of right and wrong. <br> 2. a lesson that can be derived from a story or experience."
"easy","tomato","a glossy red, or occasionally yellow, pulpy edible fruit that is eaten as a vegetable or in salad."
"easy","squirrel","1. an agile tree-dwelling rodent with a bushy tail, typically feeding on nuts and seeds. <br> 2. move in an inquisitive and restless manner."
"easy","fence","1. a barrier that serves to enclose an area <br> 2. surround with an enclosure"
"easy","desire","1. an inclination to want things <br> 2. a strong feeling of wanting to have something or wishing for something to happen."
"easy","prison","a building in which people are legally held as a punishment for a crime they have committed or while awaiting trial."
"easy","energy","1. the strength and vitality required for sustained physical or mental activity. <br> 2. power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines.<br> 3. a thermodynamic quantity equivalent to the capacity of a physical system to do work"
"easy","chair","1. a separate seat for one person, typically with a back and four legs. <br> 2. the officer who presides at the meetings of an organization "
"easy","factory","1. a building or group of buildings where goods are manufactured or assembled chiefly by machine. <br> 2. a person or organization that continually produces a great quantity of something specified."
"easy","purchase","acquire (something) by paying for it; buy."
"easy","envy","desire to have a quality, possession, or other desirable thing belonging to (someone else)."
"easy","ache","1. a continuous or prolonged dull pain in a part of one's body. <br> 2. an emotion experienced with painful or bittersweet intensity. <br> 3. feel an intense desire for."
"easy","summer","the warmest season of the year, in the northern hemisphere from June to August and in the southern hemisphere from December to February."
"easy","axe","1. a tool used for chopping wood, typically of iron with a steel edge and wooden handle. <br> 2. end, cancel, or dismiss suddenly and ruthlessly. <br> 3. reduce (costs or services) drastically."
"easy","honey","a sweet, sticky yellowish-brown fluid made by bees and other insects from nectar collected from flowers."
"easy","jam","1. squeeze or pack tightly into a specified space. <br> 2. crowd on to (a road or area) so as to block it. <br> 3. become or make unable to move or work due to a part seizing up or becoming stuck. <br> 4. interfere with or prevent the reception of signals <br> 5. preserve of crushed fruit"
"easy","ink","a coloured fluid or paste used for writing, drawing, printing, or duplicating."
"easy","zigzag","1. a line or course having abrupt alternate right and left turns. <br> 2. move right and left alternately."
"easy","tidy","1. arranged neatly and in order. <br> 2. inclined to keep things or one's appearance neat and in order."
"easy","wheat","a cereal which is the most important kind grown in temperate countries, the grain of which is ground to make flour for bread, pasta, pastry, etc."
"easy","park","1. a large public garden or area of land used for recreation. <br> 2. a large enclosed area of land used to accommodate wild animals in captivity. <br> 3. a children's playground. <br> 4. an area for vehicles to be left in until required."
"easy","fiction","1. literature in the form of prose, especially novels, that describes imaginary events and people. <br> 2. something that is invented or untrue."
"easy","nurse","1. a person trained to care for the sick or infirm, especially in a hospital. <br> 2. give medical and other attention to (a sick person)."
"easy","applause","approval or praise expressed by clapping."
"easy","tape","1. a strip of paper or plastic coated with adhesive and sold in a roll, used to stick things together. <br> 2. long, narrow flexible material with magnetic properties, used for recording sound, pictures, or computer data."
"easy","normal","1. the usual, typical, or expected state or condition. <br> 2. a line at right angles to a given line or surface."
"easy","pillar","1. a tall vertical structure of stone, wood, or metal, used as a support for a building, or as an ornament or monument. <br> 2. a person or thing regarded as reliably providing essential support for something."
"easy","pillow","a rectangular cloth bag stuffed with feathers or other soft materials, used to support the head when lying or sleeping."
"easy","butter","a pale yellow edible fatty substance made by churning cream and used as a spread or in cooking."
"easy","dive","1. plunge head first into water with one's arms raised over one's head. <br> 2. a steep descent by an aircraft or bird. <br> 3. a sudden movement in a specified direction."
"easy","hurry","1. move or act with great haste. <br> 2. do something more quickly."
"easy","zombie","1. a dead body that has been brought back to life by a supernatural force <br> 2. a person who is or appears lifeless, apathetic, or completely unresponsive to their surroundings."
